date,company,number 
28.08.2013,NHY NORSK HYDRO,-500
28.08.2013,SCANA SCANA,5400
19.09.2013,AVM Avocet Mining,-10000
19.09.2013,NOM NORDIC MINING,33000
03.10.2013,SCANA SCANA,-8000
03.10.2013,NOM NORDIC MINING,37000
14.11.2013,SOLON SOLON EIENDOM,2000
14.11.2013,BULKIN Bulk Invest ASA,2083
26.11.2013,BWLPG BW LPG,223
09.12.2013,KOA KONGSBERG AUTOMOT,-8600
09.12.2013,QFR Q-FREE,2000
09.12.2013,BULL NORSK HYDRO ETN DNM,2000
09.12.2013,NORDIC MINING ASA,-20500
09.12.2013,Q-FREE,1400
11.12.2013,AVM Avocet Mining,-10000
11.12.2013,NOM NORDIC MINING,-20000
11.12.2013,SCANA SCANA,-11700
11.12.2013,BULL NORSK HYDRO ETN DNM,-2000
11.12.2013,BEAR NORSK HYDRO ETN DNM,1000
11.12.2013,BEAR NORSK HYDRO ETN DNM,1000
11.12.2013,NOM NORDIC MINING,-20000
11.12.2013,BEAR REC HA,10000
11.12.2013,BEAR REC HA,10000
11.12.2013,BEAR REC HA,10000
11.12.2013,BEAR REC HA,20000
12.12.2013,BEAR NORSK HYDRO ETN DNM,-2000
12.12.2013,NOM NORDIC MINING,-30000
12.12.2013,BEAR REC HA,-50000
12.12.2013,NHY NORSK HYDRO,2000
12.12.2013,NHY NORSK HYDRO,2000
12.12.2013,BULL NORSK HYDRO ETN DNM,2000
12.12.2013,BULL NORSK HYDRO ETN DNM,2000
16.12.2013,NHY NORSK HYDRO,-2000
16.12.2013,QFR Q-FREE,2000
16.12.2013,QFR Q-FREE,1220
16.12.2013,BULL NORSK HYDRO ETN DNM,-2000
16.12.2013,QFR Q-FREE,800
16.12.2013,NHY NORSK HYDRO,-2000
16.12.2013,PHO PHOTOCURE,1530
16.12.2013,BULL NORSK HYDRO ETN DNM,-2000
16.12.2013,QFR Q-FREE,1100
16.12.2013,PHO PHOTOCURE,-1700
16.12.2013,QFR Q-FREE,2500
16.12.2013,QFR Q-FREE,900
19.12.2013,SOLON SOLON EIENDOM,-2000
20.12.2013,BIONOR PHARMA ASA,-2275
20.12.2013,Q-FREE,400
09.01.2014,QFR Q-FREE,175
21.01.2014,MOWI MOWI,-15650
21.01.2014,MOWI MOWI,1565
22.01.2014,NKR NEKKAR,-7300
22.01.2014,KOA KONGSBERG AUTOMOT,-10000
22.01.2014,QFR Q-FREE,5000
22.01.2014,TOM_NO0005668905 TOMRA SYSTEMS,650
27.01.2014,TOM_NO0005668905 TOMRA SYSTEMS,-650
27.01.2014,QFR Q-FREE,2600
11.08.2014,BULKIN Bulk Invest ASA,1187
20.08.2014,QFR Q-FREE,3000
20.08.2014,QFR Q-FREE,3000
27.08.2014,QFR Q-FREE,1450
01.09.2014,QFR Q-FREE,2000
01.09.2014,HEX HEXAGON COMPOSITES,1250
01.09.2014,HEX HEXAGON COMPOSITES,1250
01.09.2014,HEX HEXAGON COMPOSITES,1200
16.09.2014,QFR Q-FREE,1000
10.10.2014,HEX HEXAGON COMPOSITES,-1700
10.10.2014,BULKIN Bulk Invest ASA,-1270
10.10.2014,KOA KONGSBERG AUTOMOT,-10000
10.10.2014,QFR Q-FREE,-1625
17.10.2014,KOA KONGSBERG AUTOMOT,-10000
17.10.2014,QFR Q-FREE,700
17.10.2014,QFR Q-FREE,1000
17.10.2014,QFR Q-FREE,700
17.10.2014,QFR Q-FREE,1000
20.10.2014,QFR Q-FREE,1000
21.10.2014,QFR Q-FREE,1000
21.10.2014,QFR Q-FREE,800
22.10.2014,SCANA SCANA,10000
23.10.2014,HEX HEXAGON COMPOSITES,2500
23.10.2014,BULKIN Bulk Invest ASA,3000
24.10.2014,QFR Q-FREE,-1200
27.10.2014,HEX HEXAGON COMPOSITES,500
27.10.2014,HEX HEXAGON COMPOSITES,1500
27.10.2014,HEX HEXAGON COMPOSITES,500
29.10.2014,SCANA SCANA,-10000
29.10.2014,BULL REC ETN DNM,3800
30.10.2014,HEX HEXAGON COMPOSITES,-2000
30.10.2014,BULL REC ETN DNM,6200
30.10.2014,BULL REC ETN DNM,4000
30.10.2014,BULL REC ETN DNM,-4000
31.10.2014,BULL SUBC ETN DNM,1100
31.10.2014,BULL REC ETN DNM,-5000
31.10.2014,BULL SUBC ETN DNM,1100
31.10.2014,BULL SUBC ETN DNM,1300
31.10.2014,BULL REC ETN DNM,-5000
31.10.2014,BULL SUBC ETN DNM,1500
31.10.2014,BULL SUBC ETN DNM,1500
03.11.2014,BULL SUBC ETN DNM,-1500
06.11.2014,BULL SUBC ETN DNM,-5000
06.11.2014,BULL OBX X3 ETN DNM,1250
06.11.2014,HEX HEXAGON COMPOSITES,-5000
07.11.2014,BULKIN Bulk Invest ASA,2000
07.11.2014,BULKIN Bulk Invest ASA,3000
07.11.2014,BULL MOWI DNM,900
07.11.2014,BULL OBX X3 ETN DNM,-1250
07.11.2014,BULL MOWI DNM,900
07.11.2014,BULL MOWI DNM,-1800
10.11.2014,BEAR OBX X4 ETN DNM NO 0010708902,1250
10.11.2014,BEAR OBX X4 ETN DNM NO 0010708902,1250
10.11.2014,BEAR OBX X4 ETN DNM NO 0010708902,1500
11.11.2014,BEAR OBX X4 ETN DNM NO 0010708902,-4000
11.11.2014,BULL OBX X4 ETN DNM NO 0010708894,1000
11.11.2014,BULL OBX X4 ETN DNM NO 0010708894,1000
11.11.2014,BULL OBX X4 ETN DNM NO 0010708894,900
11.11.2014,BULL OBX X4 ETN DNM NO 0010708894,600
12.11.2014,BULKIN Bulk Invest ASA,2500
13.11.2014,BULKIN Bulk Invest ASA,5000
13.11.2014,BULKIN Bulk Invest ASA,1000
14.11.2014,BULKIN Bulk Invest ASA,-1500
18.11.2014,BULL OBX X4 ETN DNM NO 0010708894,-500
25.11.2014,BULL OBX X4 ETN DNM NO 0010708894,-150
28.11.2014,BULL OBX X4 ETN DNM NO 0010708894,-850
28.11.2014,BULL OBX X4 ETN DNM NO 0010708894,-500
02.12.2014,BULL OBX X4 ETN DNM NO 0010708894,-1500
03.12.2014,QFR Q-FREE,400
03.12.2014,BULKIN Bulk Invest ASA,2500
08.12.2014,BULKIN Bulk Invest ASA,-2500
08.12.2014,QFR Q-FREE,400
12.12.2014,BULKIN Bulk Invest ASA,-2000
12.12.2014,BULKIN Bulk Invest ASA,-2000
15.12.2014,QFR Q-FREE,200
17.12.2014,QFR Q-FREE,-1400
19.12.2014,QFR Q-FREE,1400
16.01.2015,QFR Q-FREE,-3500
19.01.2015,QFR Q-FREE,750
19.01.2015,QFR Q-FREE,1250
19.01.2015,QFR Q-FREE,600
19.01.2015,QFR Q-FREE,500
20.01.2015,QFR Q-FREE,400
21.01.2015,QFR Q-FREE,700
28.01.2015,QFR Q-FREE,-3400
28.01.2015,QFR Q-FREE,-5000
28.01.2015,QFR Q-FREE,1600
28.01.2015,QFR Q-FREE,750
29.01.2015,QFR Q-FREE,900
29.01.2015,QFR Q-FREE,450
09.02.2015,QFR Q-FREE,900
09.02.2015,QFR Q-FREE,1000
09.02.2015,QFR Q-FREE,1100
11.02.2015,BULL OBX X4 ETN DNM NO 0010708894,700
12.02.2015,HEX HEXAGON COMPOSITES,2000
12.02.2015,HEX HEXAGON COMPOSITES,1400
12.02.2015,HEX HEXAGON COMPOSITES,800
12.02.2015,HEX HEXAGON COMPOSITES,1100
12.02.2015,HEX HEXAGON COMPOSITES,1000
13.02.2015,HEX HEXAGON COMPOSITES,1100
13.02.2015,BULL OBX X4 ETN DNM NO 0010708894,-700
13.02.2015,HEX HEXAGON COMPOSITES,1600
13.02.2015,QFR Q-FREE,-1046
05.03.2015,QFR Q-FREE,-1954
05.03.2015,BULL NHY X3 ETN DNM NO 0010708878,210
05.03.2015,BULL NHY X3 ETN DNM NO 0010708878,70
05.03.2015,QFR Q-FREE,-1500
05.03.2015,BULL NHY X3 ETN DNM NO 0010708878,120
11.03.2015,BULL NHY X3 ETN DNM NO 0010708878,-400
11.03.2015,BULL SEADRILL ETN DNM,6000
11.03.2015,Seadrill,130
12.03.2015,BULL SEADRILL ETN DNM,-6000
12.03.2015,HEX HEXAGON COMPOSITES,1000
12.03.2015,HEX HEXAGON COMPOSITES,500
17.03.2015,QFR Q-FREE,100
20.03.2015,QFR Q-FREE,-1000
20.03.2015,QFR Q-FREE,500
23.03.2015,QFR Q-FREE,650
27.03.2015,HEX HEXAGON COMPOSITES,-1500
27.03.2015,Seadrill,300
07.04.2015,HEX HEXAGON COMPOSITES,-1000
07.04.2015,QFR Q-FREE,1750
16.04.2015,Seadrill,-300
16.04.2015,QFR Q-FREE,-1000
16.04.2015,BEAR OBX X4 ETN DNM NO 0010708902,1200
16.04.2015,HEX HEXAGON COMPOSITES,-1000
16.04.2015,BEAR OBX X4 ETN DNM NO 0010708902,4000
16.04.2015,BEAR OBX X4 ETN DNM NO 0010708902,2400
16.04.2015,HEX HEXAGON COMPOSITES,-2000
16.04.2015,BEAR OBX X4 ETN DNM NO 0010708902,2400
16.04.2015,BEAR OBX X4 ETN DNM NO 0010708902,2500
17.04.2015,BEAR OBX X4 ETN DNM NO 0010708902,-2500
17.04.2015,BEAR OBX X4 ETN DNM NO 0010708902,-3000
17.04.2015,BEAR OBX X4 ETN DNM NO 0010708902,-7000
